Id	LinkId	CampId	Pos	Pos2	RotAngle	IsEnable	IdleAnimSet	AiLogic	AiParamDesc0	AiParam0	AiParamDesc1	AiParam1	AiParamDesc2	AiParam2	AiParamDesc3	AiParam3	AiParamDesc4	AiParam4	AiParamDesc5	AiParam5	AiParamDesc6	AiParam6	AiParamDesc7	AiParam7
20001	1	3	39.84282 160.5073 30.70321		53.97685	FALSE		0																
20002	2	3	39.84282 160.5073 30.70321		53.97685	FALSE		0																
#AÇø																								
1001	103901	2	63.88139 160.5073 44.67321		206.7366	FALSE	15|16	20001		0														
1002	103902	2	63.44991 160.5073 47.39558		226.9449	FALSE	15|16	20001		0														
1003	103903	2	63.58552 160.5073 50.89717		169.8762	FALSE	15|16	20002		0														
1004	103904	2	57.0104 160.5073 72.69067		217.5074	FALSE	15|16	20001		0														
1005	103905	2	60.24323 160.5073 70.95543		217.4105	FALSE	15|16	20001		0														
1006	103906	2	59.56437 160.5073 67.35956		238.5552	FALSE	15|16	20002		0														
1007	103907	2	35.43705 160.5073 67.44642		179.6591	FALSE	15|16	20001		0														
1008	103908	2	31.17663 160.5073 67.35221			FALSE	15|16	20002		0														
1009	103907	2	29.58144 160.5073 66.4183		200.804	FALSE	15|16	20001		0														
1010	103908	2	32.76625 160.5073 62.68403		179.6591	FALSE	15|16	20002		0														
2001	103910	2	34.55621 160.5073 64.23403			FALSE	15|16	20004		0														
2002	103909	2	54.95032 160.5073 68.99669		200.804	FALSE	15|16	20004		0														
2003	103911	2	34.55621 160.5073 64.23403			FALSE	15|16	20004		0														
2004	103912	2	54.95032 160.5073 68.99669		200.804	FALSE	15|16	20004		0														
2005	103913	2	34.55621 160.5073 64.23403			FALSE	15|16	20004		0														
2006	103914	2	54.95032 160.5073 68.99669		200.804	FALSE	15|16	20004		0														
2007	103915	2	34.55621 160.5073 64.23403			FALSE	15|16	20004		0														
2008	103916	2	54.95032 160.5073 68.99669		200.804	FALSE	15|16	20004		0														
2009	103909	2	60.24323 160.5073 70.95543			FALSE	15|16	20004		0														
2010	103910	2	59.56437 160.5073 67.35956		200.804	FALSE	15|16	20004		0														
2011	103911	2	35.43705 160.5073 67.44642			FALSE	15|16	20004		0														
2012	103912	2	31.17663 160.5073 67.35221		200.804	FALSE	15|16	20004		0														
2013	103913	2	29.58144 160.5073 66.4183			FALSE	15|16	20004		0														
2014	103914	2	32.76625 160.5073 62.68403		200.804	FALSE	15|16	20004		0														
2015	103915	2	34.55621 160.5073 64.23403			FALSE	15|16	20004		0														
2016	103916	2	54.95032 160.5073 68.99669		200.804	FALSE	15|16	20004		0														
